CPU (user): 41.921875	CPU (sys): 23.765625	RAM: 191.8828125
CPU (user): 6.90625	CPU (sys): 5.046875	RAM: 275.00390625
CPU (user): 12.765625	CPU (sys): 8.984375	RAM: 274.9453125
CPU (user): 18.5	CPU (sys): 12.796875	RAM: 274.95703125
CPU (user): 53.15625	CPU (sys): 33.375	RAM: 289.6875
CPU (user): 79.3125	CPU (sys): 49.703125	RAM: 264.21875
CPU (user): 88.703125	CPU (sys): 57.3125	RAM: 262.859375
CPU (user): 150.21875	CPU (sys): 96.25	RAM: 303.6171875
CPU (user): 157.671875	CPU (sys): 101.0625	RAM: 276.5390625
CPU (user): 164.84375	CPU (sys): 106.890625	RAM: 263.48828125
CPU (user): 180.578125	CPU (sys): 117.71875	RAM: 294.9140625
CPU (user): 233.84375	CPU (sys): 151.453125	RAM: 299.49609375
CPU (user): 249.015625	CPU (sys): 161.59375	RAM: 276.66015625
CPU (user): 253.484375	CPU (sys): 165.859375	RAM: 276.84765625
CPU (user): 265.890625	CPU (sys): 174.78125	RAM: 266.2578125
CPU (user): 271.734375	CPU (sys): 180.015625	RAM: 276.85546875
CPU (user): 283.796875	CPU (sys): 188.140625	RAM: 290.7734375
CPU (user): 290.484375	CPU (sys): 193.71875	RAM: 276.84765625
CPU (user): 296.734375	CPU (sys): 198.65625	RAM: 263.76953125
CPU (user): 329.5625	CPU (sys): 218.25	RAM: 291.1640625
CPU (user): 373.671875	CPU (sys): 246.59375	RAM: 269.26953125
CPU (user): 388.21875	CPU (sys): 255.546875	RAM: 263.89453125
CPU (user): 393.484375	CPU (sys): 260.375	RAM: 263.89453125
CPU (user): 399.65625	CPU (sys): 265.421875	RAM: 263.890625
CPU (user): 409.0	CPU (sys): 272.703125	RAM: 269.703125
CPU (user): 414.375	CPU (sys): 277.65625	RAM: 263.890625
CPU (user): 421.34375	CPU (sys): 283.4375	RAM: 263.890625
CPU (user): 431.46875	CPU (sys): 290.71875	RAM: 280.3828125
CPU (user): 443.65625	CPU (sys): 299.9375	RAM: 281.28515625
CPU (user): 450.15625	CPU (sys): 305.75	RAM: 263.87109375
CPU (user): 454.75	CPU (sys): 310.203125	RAM: 288.9765625
CPU (user): 496.328125	CPU (sys): 335.859375	RAM: 291.5
CPU (user): 510.65625	CPU (sys): 345.796875	RAM: 276.015625
CPU (user): 518.015625	CPU (sys): 352.015625	RAM: 281.5390625
CPU (user): 526.6875	CPU (sys): 358.0625	RAM: 289.00390625
CPU (user): 538.234375	CPU (sys): 366.015625	RAM: 286.6171875
CPU (user): 549.46875	CPU (sys): 374.5625	RAM: 284.4921875
CPU (user): 556.90625	CPU (sys): 380.71875	RAM: 285.9296875
CPU (user): 563.78125	CPU (sys): 386.515625	RAM: 264.09375
CPU (user): 569.6875	CPU (sys): 391.9375	RAM: 287.49609375
CPU (user): 574.984375	CPU (sys): 397.203125	RAM: 287.875
CPU (user): 582.578125	CPU (sys): 403.671875	RAM: 269.76171875
CPU (user): 590.8125	CPU (sys): 410.328125	RAM: 287.390625
CPU (user): 597.984375	CPU (sys): 416.078125	RAM: 288.11328125
CPU (user): 607.140625	CPU (sys): 421.765625	RAM: 291.01171875
